단계,종류,형식(보기:선택지),문제,보기,선택지1,선택지2,선택지3,선택지4,정답
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그는 자신의 잘못을 (시인 / 자인)했다.,,,,,시인
1,어휘력,,문장에서 어울리는 단어를 고르시오.,서류 (결재 / 결제) 부탁드립니다.,,,,,결재
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그는 자기 (개발 / 계발)을 위해 꾸준히 노력한다.,,,,,계발
1,어휘력,,문장에서 어울리는 단어를 고르시오.,이 지역은 신도시 (개발 / 계발)이 한창이다.,,,,,개발
1,어휘력,,문장에서 어울리는 단어를 고르시오.,물가가 가파르게 (인상 / 인하)되어 서민들의 부담이 커졌다.,,,,,인상
1,어휘력,,문장에서 어울리는 단어를 고르시오.,범인은 증거를 (은닉 / 은폐)하려 시도했다.,,,,,은폐
1,어휘력,,문장에서 어울리는 단어를 고르시오.,두 사람의 의견이 정면으로 (상충 / 상쇄)된다.,,,,,상충
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그의 공로가 잘못을 (상충 / 상쇄)하기에는 부족하다.,,,,,상쇄
1,어휘력,,문장에서 어울리는 단어를 고르시오.,회사의 경쟁력을 (재고 / 제고)할 필요가 있다.,,,,,제고
1,어휘력,,문장에서 어울리는 단어를 고르시오.,창고 (재고 / 제고)를 파악해 주세요.,,,,,재고
1,어휘력,,문장에서 어울리는 단어를 고르시오.,갑작스러운 비보에 (황당하게 / 황망하게) 길을 떠났다.,,,,,황망하게
1,어휘력,,문장에서 어울리는 단어를 고르시오.,그는 (황당한 / 황망한) 표정으로 나를 바라보았다.,,,,,황당한
1,어휘력,,문장에서 어울리는 단어를 고르시오.,(반드시 / 반듯이) 약속을 지키겠습니다.,,,,,반드시
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,기업이나 기관에서 업무와 관련된 뜻을 전달하기 위해 주고받는 글,공문,서한,통지서,편지,1
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,책이나 논문 등을 지어 씀,저술,출판,독서,편집,1
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,어떤 일이나 현상이 일어나는 까닭이나 근거,결과,동기,원인,근본,3
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,상황이나 내용이 펼쳐져 나가는 것,전개,결말,서론,도입,1
1,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,사람의 마음이나 생각을 꿰뚫어 알아차림,직관,통찰,이해,감지,2
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,경신하다,종전의 기록을 깨뜨리다.,새로운 법률이나 제도를 만들다.,기존의 방식을 따르다.,오래된 것을 유지하다.,1
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,철석같이,절대적으로 확실한,흔들림 없이 확실하게,정직하여 신뢰할 만하게,물리적으로 단단하게,2
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,금일,이번달,어제,오늘,최근,3
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,수긍하다,어쩔 수 없이 받아들이다,이해하고 그렇다고 인정하다,마지못해 허락하다,무조건 동의하다,2
1,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,개편하다,너무 편하다.,잘못된 것을 바로잡다,점차적으로 변화하다,기존의 내용이나 체계를 고쳐 새롭게 바꾸다.,4
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,가을이 되자 나뭇잎이 '시나브로' 물들었다.,매우 빠른 속도로,전혀 다른 모양으로,겉으로 보기에,모르는 사이에 조금씩 조금씩,4
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,택배 도착 시간이 '요원'하다.,시간이 곧 다가옴,어떤 조직에 꼭 필요한 사람,시간이나 거리가 까마득함.,아직 정해지지 않음,3
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,가을비가 내리자 날씨가 '을씨년스러워졌다'.,하는 일이 마음먹은 대로 된다.,몸이 아파 기운이 없다.,날씨가 매우 화창하다.,보기에 스산하고 쓸쓸한 데가 있다.,4
1,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,'심심한' 사과를 드립니다.,지루하고 재미없다.,답답하고 괴롭다.,마음이 무겁고 죄송하다.,마음이 상쾌하고 시원하다.,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그는 '철면피' 같은 사람이다.,부끄러움을 모르는 사람,정직하고 성실한 사람,용감하고 대담한 사람,게으르고 느린 사람,1
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,나중에 뵈요.,나중에 봬요.,,,2
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,오랫만에 만나요.,오랜만에 만나요.,,,2
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,어따 대고 화를 내니?,엇다 대고 화를 내니?,,,1
